record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
1120,0,0,0.9993926286697388,High (≥0.8),0,0.9971340033578869,High (≥0.8)
1126,0,0,0.998464822769165,High (≥0.8),0,0.9474642220724327,High (≥0.8)
1139,0,0,0.9970130920410156,High (≥0.8),0,0.9945119693425258,High (≥0.8)
1167,0,0,0.9990503191947937,High (≥0.8),0,0.8931507705032281,High (≥0.8)
1190,0,0,0.9993950128555298,High (≥0.8),0,0.9882609837154996,High (≥0.8)
1207,0,0,0.9905954599380493,High (≥0.8),0,0.9508643191753335,High (≥0.8)
1258,0,0,0.9992756843566895,High (≥0.8),0,0.9783789737768612,High (≥0.8)
1311,0,0,0.9985299110412598,High (≥0.8),0,0.9703221066085301,High (≥0.8)
1334,0,0,0.9996298551559448,High (≥0.8),0,0.8761090839849572,High (≥0.8)
1403,0,0,0.9983804821968079,High (≥0.8),0,0.9927752340036237,High (≥0.8)
1413,0,0,0.999724805355072,High (≥0.8),0,0.997619357159884,High (≥0.8)
1429,0,0,0.9991410970687866,High (≥0.8),0,0.9863395190255935,High (≥0.8)
1509,0,0,0.992559552192688,High (≥0.8),0,0.9974618852018848,High (≥0.8)
1516,0,0,0.9992091655731201,High (≥0.8),0,0.6539387730915021,Medium (0.6-0.8)
1517,0,0,0.9986277222633362,High (≥0.8),0,0.9922794086817599,High (≥0.8)
1684,0,0,0.9994956851005554,High (≥0.8),0,0.8690736137290247,High (≥0.8)
1812,0,0,0.9996273517608643,High (≥0.8),0,0.9276820376735887,High (≥0.8)
1841,0,0,0.9942155480384827,High (≥0.8),0,0.9982323024670734,High (≥0.8)
7,0,0,0.9881925582885742,High (≥0.8),0,0.9902107060532904,High (≥0.8)
169,1,0,0.9869610667228699,High (≥0.8),0,0.6549327917951429,Medium (0.6-0.8)
211,0,0,0.9947861433029175,High (≥0.8),0,0.9966241842831539,High (≥0.8)
213,0,0,0.9915493130683899,High (≥0.8),1,0.7168314155860643,Medium (0.6-0.8)
244,0,0,0.9882321953773499,High (≥0.8),0,0.9568290169130009,High (≥0.8)
255,0,0,0.9957721829414368,High (≥0.8),0,0.9803444315362311,High (≥0.8)
306,0,0,0.9974932670593262,High (≥0.8),0,0.9929950456701554,High (≥0.8)
318,0,0,0.9943116307258606,High (≥0.8),0,0.8894217180714374,High (≥0.8)
505,0,0,0.9950613379478455,High (≥0.8),0,0.9977871996853803,High (≥0.8)
531,0,0,0.9959716200828552,High (≥0.8),0,0.992325919071476,High (≥0.8)
544,0,0,0.996924638748169,High (≥0.8),0,0.9973879970240844,High (≥0.8)
680,0,0,0.9938344955444336,High (≥0.8),0,0.8230671667056025,High (≥0.8)
707,0,0,0.9945095777511597,High (≥0.8),0,0.7833873700698717,Medium (0.6-0.8)
711,0,0,0.9965528249740601,High (≥0.8),0,0.6077440174030937,Medium (0.6-0.8)
716,0,0,0.9973280429840088,High (≥0.8),0,0.9481692945359558,High (≥0.8)
720,0,0,0.9910941123962402,High (≥0.8),0,0.9673246339736875,High (≥0.8)
934,0,0,0.9945499897003174,High (≥0.8),0,0.994424192804734,High (≥0.8)
988,0,0,0.9940943121910095,High (≥0.8),0,0.915920844560942,High (≥0.8)
1062,0,0,0.9779019951820374,High (≥0.8),0,0.9951161573412097,High (≥0.8)
1100,0,0,0.9892794489860535,High (≥0.8),0,0.9947709787518009,High (≥0.8)
1130,0,0,0.9903096556663513,High (≥0.8),0,0.9896157987810401,High (≥0.8)
1150,0,0,0.995455265045166,High (≥0.8),0,0.9876021972621201,High (≥0.8)
